Tournament,Entries 2019,Entries 2020,States 2019,States 2020,Local 2020 Participants,Avg Dist 2019,Avg Dist 2020,Avg ACT 2019,Avg ACT 2020,Avg Income 2019,Avg Income 2020
UT,155,100,4,7,92,31.80471517,176.4152369,20.43032258,20.554,66853.56129,66983.1
alta,70,109,11,21,90,530.6020434,915.2594346,21.41285714,21.82568807,76914.74286,75456.11927
applevalley,150,173,22,21,168,1340.003631,1611.77922,21.52,21.94219653,72332.7,73665.3237
blake,108,112,18,18,104,918.7912742,1219.99019,22.31111111,22.3375,75442.02778,74924.28571
bronx,171,185,17,23,163,894.5225926,1732.114771,23.21812865,21.94432432,75401.53801,71628.5027
collegeprep,105,124,7,17,112,194.1902542,520.6829123,22.49809524,22.45080645,77455.12381,77207.21774
cypress,36,36,2,8,18,197.5049285,1237.367353,20.03333333,20.76388889,57930.08333,65147.72222
dowling,46,58,5,14,36,438.7359269,734.9076245,20.76086957,20.89310345,70490.28261,69901.18966
duke,58,93,9,18,60,169.7202608,1008.418219,20.25689655,21.08494624,68736.22414,70133.92473
glenbrooks,183,180,25,22,171,1402.894254,1639.105569,21.70874317,21.79722222,70500.53552,72326.43889
grapevine,117,145,8,18,119,112.3059386,1000.398373,20.39913043,21.38827586,66575.68696,69849.69655
greenhill,115,101,12,16,88,943.1531857,1207.350469,21.45652174,21.82079208,70803.2,72054.11881
heritage,74,37,2,11,12,44.81562436,1151.080702,20.43424658,21.20540541,66736.87671,70050.24324
holycross,37,68,6,19,36,632.0391849,1380.470398,19.25405405,21.00441176,57262.62162,67167.23529
isidore,75,88,11,19,61,800.0082214,1342.299298,20.37866667,21.53409091,61023.56,68219.19318
jackhowe,95,144,2,16,106,39.94385144,558.6011244,22.57368421,22.18888889,78108.04211,76605.09028
loyola,66,172,4,23,109,86.24814242,1030.514488,22.53181818,22.28430233,77815.90909,75454.58721
meadows,41,71,7,11,57,548.8662239,1210.987474,21.91707317,22.36478873,76525.14634,76432.11268
presentation,125,153,5,14,135,116.3852827,717.7874149,22.47804878,22.07058824,77502.52033,75167.69281
princeton,144,112,11,19,93,377.1878833,790.2307883,23.73958333,23.20446429,77032.22917,75459.73214
ridge,52,59,6,6,52,189.2283547,594.7027441,24.29423077,23.97118644,81983.26923,79971.72881
seattle,38,41,2,9,28,16.27853671,559.257678,22.11052632,21.87317073,82020.68421,78574.82927
strake,44,61,6,16,47,261.5847341,1030.651856,20.63863636,21.07704918,67529.43182,68732.16393
uk,44,102,12,26,47,483.7953353,1196.498225,20.65909091,21.47254902,62164.59091,70753.61765
valley,93,201,14,24,175,1251.275073,1638.258181,21.90430108,22.22139303,70530.8172,74152.08458
yale,156,172,14,26,149,742.4790699,1762.725104,23.26089744,22.14825581,75159.42949,72643
